imageIndex,typ,errText,errorClassCombined,errorClassText,is_good,is_PseudoFehler
36,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
37,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
38,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
39,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
40,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
41,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
42,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
43,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
44,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
45,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
46,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
47,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
48,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
49,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
50,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
51,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
52,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
53,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
54,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
55,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
56,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
57,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
58,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
59,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
60,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
61,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
62,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
63,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
64,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
65,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
66,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
67,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
68,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
69,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
70,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
71,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
72,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
73,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
74,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
75,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
76,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
77,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
78,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
79,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
80,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
81,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
82,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
83,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
84,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
85,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
86,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
87,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
88,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
89,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
90,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
91,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
92,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
93,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
94,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
95,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
96,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
97,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
98,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
99,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
100,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
101,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
102,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
103,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
104,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
105,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
106,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
107,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
108,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
109,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
110,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
111,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
112,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
113,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
114,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
115,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
116,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
117,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
118,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
119,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
120,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
121,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
122,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
123,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
124,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
125,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
126,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
127,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
128,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
129,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
130,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
131,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
132,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
133,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
134,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
135,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
136,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
137,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
138,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
139,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
140,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
141,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
142,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
143,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
144,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
145,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
146,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
147,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
148,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
149,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
150,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
151,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
152,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
153,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
154,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
155,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
156,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
157,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
158,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
159,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
160,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
161,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
162,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
163,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
164,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
165,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
166,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
167,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
168,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
169,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
170,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
171,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
172,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
173,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
174,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
175,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
176,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
177,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
178,ELLIPSE,Lötung,THT Loetstelle offen,THT Loetstelle offen,0,0
179,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
180,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
181,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
182,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
183,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
184,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
185,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
186,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
187,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
188,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
189,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
190,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
191,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
192,ELLIPSE,Meniskus,THT Loetstelle offen,THT Loetstelle offen,0,0
193,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
194,ELLIPSE,Pin,THT Loetstelle offen,THT Loetstelle offen,0,0
195,ELLIPSE,Lötung,good,PseudoFehler,1,1
196,ELLIPSE,Pin,good,PseudoFehler,1,1
197,ELLIPSE,Pin,good,PseudoFehler,1,1
198,ELLIPSE,Lötung,good,PseudoFehler,1,1
199,ELLIPSE,Lötung,good,PseudoFehler,1,1
200,ELLIPSE,Lötung,good,PseudoFehler,1,1
201,ELLIPSE,Lötung,good,PseudoFehler,1,1
202,ELLIPSE,Lötung,good,PseudoFehler,1,1
203,ELLIPSE,Lötung,good,PseudoFehler,1,1
204,ELLIPSE,Lötung,good,PseudoFehler,1,1
205,ELLIPSE,Lötung,good,PseudoFehler,1,1
206,ELLIPSE,Lötung,good,PseudoFehler,1,1
207,ELLIPSE,Pin,good,PseudoFehler,1,1
208,ELLIPSE,Pin,good,PseudoFehler,1,1
209,ELLIPSE,Lötung,good,PseudoFehler,1,1
210,ELLIPSE,Lötung,good,PseudoFehler,1,1
211,ELLIPSE,Pin,good,PseudoFehler,1,1
212,ELLIPSE,Pin,good,PseudoFehler,1,1
213,ELLIPSE,Pin,good,PseudoFehler,1,1
214,ELLIPSE,Pin,good,PseudoFehler,1,1
215,ELLIPSE,Pin,good,PseudoFehler,1,1
216,ELLIPSE,Pin,good,PseudoFehler,1,1
217,ELLIPSE,Pin,good,PseudoFehler,1,1
218,ELLIPSE,Pin,good,PseudoFehler,1,1
219,ELLIPSE,Pin,good,PseudoFehler,1,1
220,ELLIPSE,Lötung,good,PseudoFehler,1,1
221,ELLIPSE,Pin,good,PseudoFehler,1,1
222,ELLIPSE,Pin,good,PseudoFehler,1,1
223,ELLIPSE,Pin,good,PseudoFehler,1,1
224,ELLIPSE,Lötung,good,PseudoFehler,1,1
225,ELLIPSE,Pin,good,PseudoFehler,1,1
226,ELLIPSE,Lötung,good,PseudoFehler,1,1
227,ELLIPSE,Lötung,good,PseudoFehler,1,1
228,ELLIPSE,Pin,good,PseudoFehler,1,1
229,ELLIPSE,Lötung,good,PseudoFehler,1,1
230,ELLIPSE,Pin,good,PseudoFehler,1,1
231,ELLIPSE,Pin,good,PseudoFehler,1,1
232,ELLIPSE,Lötung,good,PseudoFehler,1,1
233,ELLIPSE,Lötung,good,PseudoFehler,1,1
234,ELLIPSE,Pin,good,PseudoFehler,1,1
235,ELLIPSE,Pin,good,PseudoFehler,1,1
236,ELLIPSE,Pin,good,PseudoFehler,1,1
237,ELLIPSE,Pin,good,PseudoFehler,1,1
238,ELLIPSE,Pin,good,PseudoFehler,1,1
239,ELLIPSE,Pin,good,PseudoFehler,1,1
240,ELLIPSE,Pin,good,PseudoFehler,1,1
241,ELLIPSE,Lötung,good,PseudoFehler,1,1
242,ELLIPSE,Lötung,good,PseudoFehler,1,1
243,ELLIPSE,Lötung,good,PseudoFehler,1,1
244,ELLIPSE,Pin,good,PseudoFehler,1,1
245,ELLIPSE,Lötung,good,PseudoFehler,1,1
246,ELLIPSE,Lötung,good,PseudoFehler,1,1
247,ELLIPSE,Lötung,good,PseudoFehler,1,1
248,ELLIPSE,Lötung,good,PseudoFehler,1,1
249,ELLIPSE,Lötung,good,PseudoFehler,1,1
250,ELLIPSE,Pin,good,PseudoFehler,1,1
251,ELLIPSE,Lötung,good,PseudoFehler,1,1
252,ELLIPSE,Lötung,good,PseudoFehler,1,1
253,ELLIPSE,Pin,good,PseudoFehler,1,1
254,ELLIPSE,Lötung,good,PseudoFehler,1,1
255,ELLIPSE,Lötung,good,PseudoFehler,1,1
256,ELLIPSE,Lötung,good,PseudoFehler,1,1
257,ELLIPSE,Pin,good,PseudoFehler,1,1
258,ELLIPSE,Lötung,good,PseudoFehler,1,1
259,ELLIPSE,Lötung,good,PseudoFehler,1,1
260,ELLIPSE,Lötung,good,PseudoFehler,1,1
261,ELLIPSE,Lötung,good,PseudoFehler,1,1
262,ELLIPSE,Lötung,good,PseudoFehler,1,1
263,ELLIPSE,Pin,good,PseudoFehler,1,1
264,ELLIPSE,Lötung,good,PseudoFehler,1,1
265,ELLIPSE,Lötung,good,PseudoFehler,1,1
266,ELLIPSE,Lötung,good,PseudoFehler,1,1
267,ELLIPSE,Lötung,good,PseudoFehler,1,1
268,ELLIPSE,Lötung,good,PseudoFehler,1,1
269,ELLIPSE,Lötung,good,PseudoFehler,1,1
270,ELLIPSE,Lötung,good,PseudoFehler,1,1
271,ELLIPSE,Lötung,good,PseudoFehler,1,1
272,ELLIPSE,Lötung,good,PseudoFehler,1,1
273,ELLIPSE,Pin,good,PseudoFehler,1,1
274,ELLIPSE,Pin,good,PseudoFehler,1,1
275,ELLIPSE,Pin,good,PseudoFehler,1,1
276,ELLIPSE,Pin,good,PseudoFehler,1,1
277,ELLIPSE,Lötung,good,PseudoFehler,1,1
278,ELLIPSE,Pin,good,PseudoFehler,1,1
279,ELLIPSE,Lötung,good,PseudoFehler,1,1
280,ELLIPSE,Pin,good,PseudoFehler,1,1
281,ELLIPSE,Lötung,good,PseudoFehler,1,1
282,ELLIPSE,Lötung,good,PseudoFehler,1,1
283,ELLIPSE,Pin,good,PseudoFehler,1,1
284,ELLIPSE,Pin,good,PseudoFehler,1,1
285,ELLIPSE,Pin,good,PseudoFehler,1,1
286,ELLIPSE,Pin,good,PseudoFehler,1,1
287,ELLIPSE,Pin,good,PseudoFehler,1,1
288,ELLIPSE,Pin,good,PseudoFehler,1,1
289,ELLIPSE,Pin,good,PseudoFehler,1,1
290,ELLIPSE,Pin,good,PseudoFehler,1,1
291,ELLIPSE,Pin,good,PseudoFehler,1,1
292,ELLIPSE,Pin,good,PseudoFehler,1,1
293,ELLIPSE,Pin,good,PseudoFehler,1,1
294,ELLIPSE,Pin,good,PseudoFehler,1,1
295,ELLIPSE,Pin,good,PseudoFehler,1,1
296,ELLIPSE,Pin,good,PseudoFehler,1,1
297,ELLIPSE,Pin,good,PseudoFehler,1,1
298,ELLIPSE,Pin,good,PseudoFehler,1,1
299,ELLIPSE,Lötung,good,PseudoFehler,1,1
300,ELLIPSE,Lötung,good,PseudoFehler,1,1
301,ELLIPSE,Lötung,good,PseudoFehler,1,1
302,ELLIPSE,Lötung,good,PseudoFehler,1,1
303,ELLIPSE,Pin,good,PseudoFehler,1,1
304,ELLIPSE,Pin,good,PseudoFehler,1,1
305,ELLIPSE,Pin,good,PseudoFehler,1,1
306,ELLIPSE,Pin,good,PseudoFehler,1,1
307,ELLIPSE,Lötung,good,PseudoFehler,1,1
308,ELLIPSE,Lötung,good,PseudoFehler,1,1
309,ELLIPSE,Lötung,good,PseudoFehler,1,1
310,ELLIPSE,Lötung,good,PseudoFehler,1,1
311,ELLIPSE,Lötung,good,PseudoFehler,1,1
312,ELLIPSE,Lötung,good,PseudoFehler,1,1
313,ELLIPSE,Pin,good,PseudoFehler,1,1
314,ELLIPSE,Pin,good,PseudoFehler,1,1
315,ELLIPSE,Lötung,good,PseudoFehler,1,1
316,ELLIPSE,Lötung,good,PseudoFehler,1,1
317,ELLIPSE,Pin,good,PseudoFehler,1,1
318,ELLIPSE,Pin,good,PseudoFehler,1,1
319,ELLIPSE,Pin,good,PseudoFehler,1,1
320,ELLIPSE,Pin,good,PseudoFehler,1,1
321,ELLIPSE,Pin,good,PseudoFehler,1,1
322,ELLIPSE,Pin,good,PseudoFehler,1,1
323,ELLIPSE,Pin,good,PseudoFehler,1,1
324,ELLIPSE,Pin,good,PseudoFehler,1,1
325,ELLIPSE,Pin,good,PseudoFehler,1,1
326,ELLIPSE,Pin,good,PseudoFehler,1,1
327,ELLIPSE,Pin,good,PseudoFehler,1,1
328,ELLIPSE,Pin,good,PseudoFehler,1,1
329,ELLIPSE,Pin,good,PseudoFehler,1,1
330,ELLIPSE,Pin,good,PseudoFehler,1,1
331,ELLIPSE,Lötung,good,PseudoFehler,1,1
332,ELLIPSE,Lötung,good,PseudoFehler,1,1
333,ELLIPSE,Lötung,good,PseudoFehler,1,1
334,ELLIPSE,Lötung,good,PseudoFehler,1,1
335,ELLIPSE,Lötung,good,PseudoFehler,1,1
336,ELLIPSE,Lötung,good,PseudoFehler,1,1
337,ELLIPSE,Lötung,good,PseudoFehler,1,1
338,ELLIPSE,Lötung,good,PseudoFehler,1,1
339,ELLIPSE,Lötung,good,PseudoFehler,1,1
340,ELLIPSE,Lötung,good,PseudoFehler,1,1
341,ELLIPSE,Lötung,good,PseudoFehler,1,1
342,ELLIPSE,Lötung,good,PseudoFehler,1,1
343,ELLIPSE,Lötung,good,PseudoFehler,1,1
344,ELLIPSE,Pin,good,PseudoFehler,1,1
345,ELLIPSE,Pin,good,PseudoFehler,1,1
346,ELLIPSE,Pin,good,PseudoFehler,1,1
347,ELLIPSE,Pin,good,PseudoFehler,1,1
348,ELLIPSE,Pin,good,PseudoFehler,1,1
349,ELLIPSE,Lötung,good,PseudoFehler,1,1
350,ELLIPSE,Pin,THT Bauteil fehlt,THT Bauteil fehlt,0,0
351,ELLIPSE,Pin,THT Bauteil fehlt,THT Bauteil fehlt,0,0
352,ELLIPSE,Klemmträger verlötet,Pseudofehler,PseudoFehler,0,1
353,ELLIPSE,Pin,Pseudofehler,PseudoFehler,0,1
354,ELLIPSE,Pin,Pseudofehler,PseudoFehler,0,1
355,ELLIPSE,Pin,Pseudofehler,PseudoFehler,0,1
356,ELLIPSE,Klemmträger verlötet,Pseudofehler,PseudoFehler,0,1
357,ELLIPSE,Klemmträger verlötet,Pseudofehler,PseudoFehler,0,1
358,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
359,ELLIPSE,Klemmträger verlötet,THT Loetstelle offen,THT Loetstelle offen,0,0
360,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
361,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
362,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
363,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
364,ELLIPSE,Klemmträger verlötet,THT Loetstelle offen,THT Loetstelle offen,0,0
365,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
366,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
367,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
368,ELLIPSE,Klemmträger verlötet,THT Loetstelle offen,THT Loetstelle offen,0,0
369,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
370,ELLIPSE,Klemmträger verlötet,THT Bauteil versetzt,THT Bauteil versetzt,0,0
371,RECT,Lotperle,THT Bauteil verpolt,THT Bauteil verpolt,0,0
372,RECT,Lotperle,THT Bauteil mechan beschaedigt,THT Bauteil mechan beschaedigt,0,0
373,RECT,Lotperle,THT Bauteil Montage falsch,THT Bauteil Montage falsch,0,0
374,RECT,Lotperle,THT Bauteil falsch,THT Bauteil falsch,0,0
375,RECT,Lotperle,THT Bauteil fehlt,THT Bauteil fehlt,0,0
376,RECT,Lotperle,THT Bauteil fehlt,THT Bauteil fehlt,0,0
377,ELLIPSE,Klemmträger verlötet,THT Bauteil Montage falsch,THT Bauteil Montage falsch,0,0
378,RECT,Lotperle,THT Bauteil falsch,THT Bauteil falsch,0,0
379,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
380,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
381,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
382,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
383,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
384,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
385,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
386,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
387,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
388,ELLIPSE,Klemmträger verlötet,THT Loetstelle offen,THT Loetstelle offen,0,0
389,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
390,RECT,Lotperle,THT Loetstelle offen,THT Loetstelle offen,0,0
391,ELLIPSE,Klemmträger verlötet,THT Bauteil liegt nicht auf,THT Bauteil liegt nicht auf,0,0
392,ELLIPSE,Klemmträger verlötet,THT Bauteil liegt nicht auf,THT Bauteil liegt nicht auf,0,0
393,RECT,Lotperle,THT Bauteil liegt nicht auf,THT Bauteil liegt nicht auf,0,0
394,RECT,Lotperle,THT Bauteil liegt nicht auf,THT Bauteil liegt nicht auf,0,0
395,RECT,Lotperle,THT Bauteil liegt nicht auf,THT Bauteil liegt nicht auf,0,0
